stress,l1_angle,edge,ring,tsne,index
969.09753,146.58127,0.19855592,492.28262,0.34424192,10000
140.40166,94.51253,0.21625932,161.37936,0.22135773,10001
195.23492,94.483734,0.27888268,190.75029,0.22939706,10002
69.53549,48.845406,0.17919983,89.54663,0.17798303,10003
401.097,96.14182,0.18200225,358.18127,0.2584462,10004
1120.5996,155.57224,0.27937424,609.761,0.3650992,10005
846.8854,170.78505,0.25406796,553.1327,0.2812634,10006
185.87975,69.78748,0.219859,182.96938,0.25798342,10007
8.458096,26.95832,0.09151316,30.193325,0.118485965,10008
1008.6477,169.28079,0.33525673,660.51227,0.34977868,10009
15.967146,27.387115,0.1003045,34.185257,0.122204095,10010
27.524303,46.047905,0.16269977,58.66213,0.19052982,10011
32.07276,46.00223,0.113699816,57.92441,0.15567291,10012
18.832539,28.640335,0.16061854,37.250374,0.15408789,10013
933.71204,154.73105,0.29025602,595.72144,0.3663096,10014
1201.6492,180.09763,0.31205773,708.9091,0.40635607,10015
121.29292,58.655037,0.16037661,139.21437,0.2119419,10016
456.08643,112.64282,0.3004434,355.8847,0.30295628,10017
966.7315,157.74487,0.35848638,625.1836,0.30422205,10018
1172.8502,195.97337,0.39930934,737.6715,0.311044,10019
820.3462,147.27039,0.21468288,481.3291,0.29130656,10020
921.99115,149.2432,0.2910922,517.1352,0.3667103,10021
796.19244,131.47134,0.2418128,534.08057,0.31782374,10022
1341.8469,207.20325,0.27683428,874.6515,0.3824529,10023
1039.675,188.9207,0.29002714,676.0867,0.3270013,10024
3.922671,13.336635,0.079361044,13.414331,0.074549876,10025
237.34137,77.443375,0.15543768,199.07764,0.25781733,10026
752.53406,151.62833,0.22426993,494.10028,0.32736138,10027
666.2578,123.15962,0.29978836,437.10992,0.34106207,10028
1276.3042,201.68727,0.25954273,785.5514,0.38531548,10029
1576.3376,195.85898,0.27114365,894.8198,0.45166832,10030
131.32573,81.67678,0.21077974,144.74017,0.19519623,10031
9.426144,25.515152,0.11640513,23.793768,0.14891925,10032
4.44515,11.938139,0.062654346,17.67807,0.07664155,10033
273.25333,103.33469,0.19808856,245.6285,0.21360128,10034
112.202805,86.169304,0.16339871,145.74055,0.20195752,10035
12.259207,22.125809,0.109316975,30.126064,0.1526969,10036
1352.3491,192.23752,0.37154648,746.64246,0.3680231,10037
315.2628,98.31703,0.25613433,235.25203,0.28177476,10038
51.625984,39.638332,0.2120842,75.515465,0.16501488,10039
12.231567,27.580853,0.12743494,34.232513,0.089529246,10040
237.91095,86.42747,0.18581817,212.11264,0.32717133,10041
244.86383,85.28073,0.24597172,253.8104,0.2517242,10042
148.03967,71.65398,0.14693236,166.02475,0.20038876,10043
50.3573,37.408203,0.121067554,72.05405,0.17908102,10044
1084.3015,136.92331,0.3708984,561.59045,0.3417761,10045
