stress,l1_angle,edge,ring,tsne,index
1838.073,163.23517,1.6670461,539.36334,0.3726567,10000
331.1693,125.457436,0.98438287,209.2842,0.26475352,10001
421.29993,109.822845,1.1402469,225.83084,0.25207078,10002
293.5127,108.56175,1.1641538,134.89137,0.27848485,10003
588.47614,90.91447,1.1631885,337.0756,0.23532,10004
2029.8318,184.18468,1.5305693,782.11975,0.36644095,10005
948.3539,168.50842,0.63482964,506.95285,0.23752268,10006
378.2628,107.63327,1.2148697,213.05591,0.257862,10007
56.041046,48.95637,0.40407163,49.529995,0.2351408,10008
780.5032,167.73222,0.27877286,515.2165,0.28266504,10009
65.23032,43.279457,0.5095501,56.23569,0.20203257,10010
151.16818,68.07245,0.5021111,112.38257,0.35422215,10011
135.97813,66.98654,0.5450403,109.27459,0.28032854,10012
50.148647,42.854805,0.3820079,50.87992,0.15997629,10013
741.9901,125.60483,0.3144924,438.38312,0.2671246,10014
907.84296,167.33527,0.23293388,520.17096,0.2679813,10015
295.3565,91.16246,0.8872928,172.55836,0.24926656,10016
465.09503,112.78648,0.4742995,315.57504,0.26508212,10017
1530.9318,182.64685,1.2666548,758.3017,0.3402977,10018
1545.1997,197.41846,1.3737491,766.62317,0.30532813,10019
1042.0448,138.17632,0.76719105,436.5417,0.25811794,10020
2572.9683,177.11716,2.6422527,753.7637,0.38862208,10021
633.09265,116.62711,0.16256519,419.83994,0.25232378,10022
1045.4863,207.25986,0.25723252,690.88,0.29377523,10023
1462.8867,208.83185,0.8811039,684.72723,0.29963726,10024
30.20521,23.434166,0.31509262,25.629704,0.29238263,10025
662.7461,130.62141,2.21757,242.61356,0.27188116,10026
636.0557,139.86276,0.18684429,410.60623,0.25759113,10027
541.70215,126.50099,0.21613601,353.62985,0.27324015,10028
896.2268,196.3568,0.2383198,566.92163,0.27336612,10029
1188.9818,170.69022,0.5505419,613.576,0.29888955,10030
420.75183,121.04106,1.3229823,230.91287,0.28684744,10031
30.236454,43.684795,0.26567742,33.200195,0.1715448,10032
50.51432,42.235603,0.4183805,39.780487,0.29914302,10033
726.7364,117.05133,1.0057178,290.31714,0.27624357,10034
198.51035,111.57593,0.5986679,138.67732,0.1693253,10035
72.44144,48.32699,0.4861669,56.104015,0.27099186,10036
1827.3835,203.24869,1.1108466,810.2857,0.3545308,10037
679.4165,118.7719,1.4309393,244.29846,0.32341123,10038
159.08624,66.25049,0.6426151,126.86004,0.24644102,10039
106.841225,66.943726,0.51423216,82.48256,0.31710535,10040
198.68935,104.21105,0.24827969,156.73445,0.1950572,10041
378.7085,109.90359,0.81419367,260.133,0.23767757,10042
507.2018,117.41684,1.5755451,234.36194,0.29933935,10043
270.8954,83.60853,0.92735165,168.2251,0.39144027,10044
1542.1188,150.40186,0.65384877,619.1783,0.35250664,10045
1588.5931,204.46446,1.99779,577.16095,0.34497312,10046
703.6682,112.22921,2.4715729,152.44975,0.27037254,10047
1283.9835,177.32825,1.7055378,503.56714,0.31350514,10048
159.89299,93.24084,0.27398545,150.83662,0.1510785,10049
501.71072,145.33904,0.1456699,430.98154,0.22369823,10050
804.53784,150.81088,0.20413204,536.8003,0.25394353,10051
233.95094,77.7946,0.7296264,142.98526,0.20236954,10052
287.26007,105.19596,0.70009655,227.788,0.21612826,10053
338.38278,99.842606,0.88446426,201.58145,0.23140596,10054
69.199974,39.691586,0.4794018,44.975197,0.44342002,10055
391.61316,117.058334,0.19014822,261.79337,0.19150648,10056
1968.3527,241.34276,1.6736251,847.36835,0.34446287,10057
298.44275,115.99104,0.31031564,261.93637,0.19277744,10058
999.98914,173.78458,0.85778415,599.69714,0.29227486,10059
1284.6273,194.81013,0.48483104,727.4379,0.32059282,10060
590.9171,160.15105,0.14727859,416.5515,0.20434077,10061
778.00146,158.46466,0.20439497,488.89743,0.22865859,10062
379.84805,81.680374,0.9940663,196.7333,0.55554485,10063
581.8375,139.35812,0.16945043,418.42056,0.2272872,10064
445.55386,113.79845,1.1971519,150.08415,0.21844047,10065
316.92267,86.27392,0.7812624,189.63806,0.5003546,10066
272.98648,97.91011,0.91023177,162.7614,0.1939661,10067
626.6438,127.73656,1.3164369,263.2828,0.27585647,10068
252.8277,105.30911,1.0871291,143.69829,0.20212416,10069
474.69696,113.35008,1.5381776,241.44652,0.33126155,10070
396.91748,104.30686,0.20443176,336.09973,0.22965801,10071
194.57545,96.994804,0.6214257,150.42097,0.18912399,10072
133.82712,53.18035,0.683384,87.38084,0.3348869,10073
788.684,145.59995,0.20960437,493.28683,0.24361722,10074
321.64075,108.134094,0.6074614,236.17833,0.23950799,10075
321.0216,106.70549,1.0302038,190.7436,0.22078912,10076
763.3104,129.72958,0.20736662,493.93958,0.2720364,10077
414.80984,128.97215,0.16528837,312.8029,0.2030868,10078
557.73737,106.109116,1.8788551,208.90984,0.599682,10079
481.20004,105.32286,1.2540671,240.0757,0.34662995,10080
315.93573,62.767784,1.1054097,172.28412,0.48975194,10081
54.491074,40.67821,0.3584442,53.075535,0.20789994,10082
376.41498,75.8897,1.2183591,182.58533,0.44414395,10083
427.14468,88.775635,0.216411,292.3574,0.26049283,10084
296.2145,98.872986,0.7406784,214.38339,0.2700869,10085
482.4441,98.10717,1.1414826,269.26428,0.2672159,10086
433.35913,92.15133,2.1808503,96.22701,0.33483025,10087
571.1643,138.99112,0.21080677,415.77002,0.26843706,10088
661.96075,145.04887,0.76464844,411.2059,0.253668,10089
235.30812,75.83759,0.59543216,134.53738,0.1600133,10090
35.96923,34.404366,0.3757022,31.98142,0.25615606,10091
289.1749,88.08977,1.1899977,146.06601,0.31996155,10092
376.93915,113.77119,0.1744778,278.39075,0.19367275,10093
549.31854,124.21266,0.76971763,284.89447,0.26725337,10094
91.623856,52.558384,0.42295974,81.104675,0.257503,10095
1306.0587,170.36226,0.39220154,631.3697,0.3069218,10096
316.2929,80.249435,1.2153591,160.62158,0.276015,10097
327.74756,120.31171,0.21317983,256.16577,0.20389248,10098
316.11414,139.48009,0.32819328,303.03888,0.18954685,10099
662.2011,135.11636,0.18279222,498.47693,0.22672185,10100
