stress,l1_angle,edge,ring,tsne,index
1004.78705,154.59875,0.26834592,470.93445,0.29980975,10000
152.22214,85.61601,0.18113394,157.55774,0.19057153,10001
166.89122,82.52315,0.15768811,169.79955,0.16346718,10002
87.60339,46.508034,0.17352346,84.25631,0.10889211,10003
416.7539,86.79049,0.27209067,320.61237,0.21650901,10004
1117.6469,173.11296,0.36700407,593.8589,0.35161602,10005
928.1787,170.63687,0.32832086,570.1487,0.27827886,10006
185.90543,71.21403,0.25273865,161.88786,0.1907765,10007
27.961605,38.268536,0.26434016,34.028065,0.07718437,10008
880.19946,160.34601,0.3454373,574.77594,0.3215186,10009
25.979074,26.559649,0.20053428,35.05505,0.09384262,10010
86.27014,49.098785,0.55442804,66.56604,0.12145037,10011
41.12771,45.912086,0.20150825,56.93425,0.109635204,10012
16.948158,33.25508,0.089338325,33.425964,0.08852317,10013
949.35657,137.30109,0.49575758,515.79987,0.3134879,10014
1142.1477,187.48808,0.38692895,602.95355,0.312436,10015
130.4982,63.480453,0.19776455,131.53453,0.16669942,10016
431.13586,109.2553,0.28575212,324.8811,0.27483898,10017
920.6835,171.3718,0.3305349,618.63574,0.30714458,10018
1245.759,197.84789,0.35167292,769.371,0.3076428,10019
903.7501,146.2357,0.30459797,445.6122,0.25162646,10020
960.5185,143.68275,0.42777607,491.1196,0.32118198,10021
810.6091,137.0437,0.26368004,490.16046,0.29424575,10022
1216.6062,208.2855,0.34887987,770.65283,0.32537577,10023
1196.4022,175.8707,0.48083952,686.984,0.3014192,10024
13.8396635,20.882847,0.31608376,15.083169,0.062241156,10025
266.51907,84.75285,0.22947183,181.46115,0.17463665,10026
760.0513,152.0525,0.2774737,461.25793,0.29005554,10027
665.6135,138.4878,0.30967528,416.24545,0.3235231,10028
1116.5178,198.83868,0.32737392,656.7183,0.3093356,10029
1205.7537,179.99864,0.39396206,638.7268,0.2994598,10030
133.0988,76.877365,0.17320982,145.09232,0.17646094,10031
16.956184,28.71248,0.17851107,25.144056,0.101934984,10032
19.759192,22.26049,0.25878665,20.960188,0.07995847,10033
403.37466,99.04875,0.26192474,262.7853,0.17809767,10034
148.89586,73.65943,0.2417969,139.30452,0.13485037,10035
31.815079,32.10054,0.24303438,33.55134,0.10680097,10036
1284.2039,192.6501,0.3889108,698.9631,0.34123456,10037
306.44928,84.72332,0.26500887,200.21442,0.21821871,10038
38.826317,33.822235,0.13931575,65.73642,0.11228676,10039
23.107286,42.596416,0.14723714,36.113125,0.068105325,10040
234.38449,86.06838,0.2419,174.91708,0.2189669,10041
261.39758,95.449974,0.23416495,239.42517,0.21439168,10042
216.29141,74.278854,0.20241131,171.84833,0.17414679,10043
72.25218,52.31417,0.2644124,71.03762,0.13397717,10044
972.04504,142.41827,0.33082366,508.30087,0.2991563,10045
773.34283,150.26872,0.29946318,436.48813,0.26684597,10046
210.15457,67.872604,0.18841684,139.63033,0.14679755,10047
681.5644,153.05751,0.33247006,389.599,0.23747885,10048
186.68744,75.23499,0.2276639,170.07674,0.1670806,10049
613.5393,156.44989,0.2406407,480.73883,0.2533228,10050
1049.1318,187.09451,0.3449932,624.1494,0.29616827,10051
164.10985,64.01741,0.21624486,137.28983,0.17440814,10052
209.55476,92.33696,0.29851767,209.49036,0.21953447,10053
201.0159,71.65042,0.265529,169.73535,0.15166196,10054
16.129982,13.391841,0.09820017,15.67872,0.104795635,10055
550.6446,132.55608,0.34350207,327.5424,0.24829568,10056
1022.8193,199.43979,0.33297646,645.8815,0.25152186,10057
353.04926,99.72985,0.32582703,293.7587,0.21618734,10058
701.7719,156.60225,0.3039858,549.46063,0.27444908,10059
1331.902,195.44002,0.43919557,766.2675,0.3401421,10060
797.3186,164.77704,0.3406541,493.99078,0.25355908,10061
1025.6531,159.07936,0.35451853,589.6158,0.27614793,10062
87.64696,49.567993,0.24982059,77.181366,0.12020519,10063
734.27356,147.97133,0.29245952,486.637,0.27010006,10064
276.3036,83.76732,0.21997066,155.57193,0.15977594,10065
45.170967,37.29055,0.1366488,47.902435,0.08581243,10066
191.70409,71.27443,0.3143306,154.8676,0.16714078,10067
320.79343,94.33601,0.26629317,222.60384,0.18145858,10068
123.59092,70.01024,0.17286175,124.40342,0.14300808,10069
111.69748,72.17433,0.13179521,119.85947,0.12523438,10070
501.7876,109.13674,0.323989,381.86026,0.26473832,10071
112.008484,68.091965,0.18453419,127.98926,0.1622689,10072
26.690916,30.042015,0.14076068,39.23457,0.07750112,10073
1007.46967,165.50635,0.37211934,580.4314,0.28153878,10074
226.19214,85.35173,0.2511875,211.0109,0.21954337,10075
157.00842,86.65225,0.20887403,151.22166,0.17769241,10076
1048.4001,149.92673,0.34440786,620.7501,0.3256808,10077
511.37445,122.079865,0.23771882,360.98157,0.23782817,10078
65.16235,53.999233,0.1436744,56.610405,0.08703173,10079
179.07071,75.084915,0.22608677,163.30779,0.15858474,10080
47.219223,30.976748,0.13482197,58.662296,0.1041222,10081
13.933977,27.41279,0.11789038,29.127129,0.095789775,10082
91.14453,52.669765,0.18600191,88.89578,0.13024583,10083
536.15344,102.00012,0.30944353,332.27924,0.29657558,10084
144.02322,80.14445,0.19536856,161.30984,0.18764776,10085
292.6867,84.640755,0.30734736,239.33409,0.20980223,10086
108.099,55.122124,0.15763833,85.35637,0.1237808,10087
724.46106,149.01808,0.36284485,485.10934,0.30864814,10088
385.2354,123.068405,0.23202248,344.55933,0.2228479,10089
221.57648,68.430664,0.22404802,162.57101,0.14447221,10090
6.684086,18.05976,0.07055836,16.027674,0.03814359,10091
111.53153,58.827026,0.27648398,94.469574,0.14795281,10092
495.86395,124.17432,0.28543007,326.30826,0.2268902,10093
325.08386,99.41717,0.22530165,239.56845,0.22624654,10094
41.639732,46.435726,0.22599685,50.571785,0.10807999,10095
1705.9917,183.1117,0.43302238,826.02527,0.34049818,10096
131.23381,63.11622,0.20026252,116.14168,0.1820161,10097
393.51816,127.27753,0.30128,285.20438,0.22077219,10098
326.07513,132.52457,0.19677801,328.07254,0.21639055,10099
844.3158,144.1527,0.2677333,572.18097,0.25913206,10100
22.061869,22.69903,0.19113703,21.570639,0.09450309,10101
82.27547,60.82499,0.22313157,87.36738,0.095116094,10102
13.532678,24.272215,0.2354475,24.322437,0.06656,10103
64.179565,45.190613,0.20937066,58.29428,0.109375544,10104
80.44055,53.439415,0.139503,95.17449,0.11633061,10105
35.398083,23.956495,0.2174641,38.345787,0.1252233,10106
40.26083,33.74262,0.14758618,64.52049,0.104027346,10107
